id,area,bedrooms,bathrooms,stories,parking,location,furnishing,age_years,amenities_score,price
1,3069,1,1,3,1,Riverside,Unfurnished,6,10,14395468.96
2,2683,1,1,1,0,Suburb North,Unfurnished,14,8,9295959.34
3,2748,2,2,4,1,Countryside,Fully-Furnished,17,0,6865869.28
4,1103,6,4,3,2,Suburb South,Unfurnished,21,1,3266517.99
5,846,3,3,3,0,Countryside,Fully-Furnished,7,6,2303944.85
6,1650,6,5,3,1,Suburb North,Unfurnished,14,4,7351641.05
7,3953,2,1,4,2,Countryside,Fully-Furnished,23,2,8898541.68
8,1308,6,3,1,1,Tech Park Area,Fully-Furnished,15,2,6824747.5
9,1555,6,6,2,2,Downtown,Unfurnished,2,5,9104507.92
10,721,2,2,3,1,Countryside,Semi-Furnished,29,2,1328164.92
11,1460,6,5,3,3,Old Town,Semi-Furnished,23,3,5276275.47
12,1016,5,4,1,0,Suburb North,Unfurnished,40,2,2963514.44
13,2179,5,1,4,3,Old Town,Semi-Furnished,33,4,6601942.51
14,3975,1,1,3,2,Suburb North,Semi-Furnished,27,2,12082072.76
15,4356,6,6,3,1,Tech Park Area,Unfurnished,40,4,17543371.06
16,2529,5,2,2,2,Suburb South,Fully-Furnished,33,0,8120768.19
17,2451,1,1,3,2,Riverside,Unfurnished,15,9,10968929.4
18,800,6,4,1,1,Suburb South,Fully-Furnished,30,8,2927115.21
19,2611,5,4,2,1,Industrial Zone,Semi-Furnished,23,7,8133660.39
20,2299,1,1,2,0,Hill View,Unfurnished,37,8,7921578.91
21,1352,1,1,1,1,Suburb North,Unfurnished,21,1,3830715.99
22,1590,6,4,2,1,Old Town,Fully-Furnished,30,3,5467786.93
23,3757,4,2,1,0,City Center,Semi-Furnished,27,6,18597742.68
24,3436,1,1,1,3,Hill View,Unfurnished,15,3,13610384.06
25,2287,2,2,2,2,Countryside,Unfurnished,4,7,5937954.51
26,3956,5,1,1,0,Suburb North,Unfurnished,10,6,14959059.92
27,1325,4,1,2,3,Downtown,Semi-Furnished,16,7,6600064.24
28,3303,6,6,4,1,Riverside,Semi-Furnished,13,0,16334231.31
29,2670,1,1,1,0,Old Town,Semi-Furnished,32,8,6225741.94
30,4385,5,1,2,0,Old Town,Unfurnished,15,6,12073232.75
31,4096,5,2,1,0,City Center,Fully-Furnished,37,9,22307221.68
32,4278,3,2,3,1,Industrial Zone,Semi-Furnished,8,10,14199212.64
33,2322,3,1,1,3,Old Town,Fully-Furnished,6,1,8044014.43
34,2522,3,2,3,0,Riverside,Semi-Furnished,18,2,10086879.96
35,2675,6,3,1,2,Suburb North,Unfurnished,16,1,10266377.9
36,3490,5,2,3,2,Old Town,Unfurnished,21,3,10187012.92
37,3943,3,3,3,0,Suburb North,Fully-Furnished,27,4,13786345.54
38,1816,2,2,3,1,Countryside,Fully-Furnished,27,8,4037595.91
39,758,6,2,1,2,Old Town,Fully-Furnished,9,6,2822116.92
40,1712,3,1,3,1,Riverside,Fully-Furnished,6,5,9554774.77
41,4071,4,4,2,1,Suburb South,Unfurnished,26,0,10619512.66
42,4236,3,3,2,2,Suburb South,Fully-Furnished,6,6,20056344.07
43,3966,4,2,2,3,Hill View,Semi-Furnished,14,3,18698025.32
44,1241,4,3,3,0,Industrial Zone,Semi-Furnished,32,6,3189580.09
45,3905,5,3,1,0,Industrial Zone,Unfurnished,37,4,7362162.02
46,2893,4,3,3,3,Old Town,Fully-Furnished,7,6,12858393.21
47,1228,3,1,4,0,Tech Park Area,Fully-Furnished,12,5,6358595.85
48,4336,6,3,3,0,Industrial Zone,Fully-Furnished,19,10,15218404.2
49,2098,6,3,2,1,City Center,Fully-Furnished,24,10,14936153.87
50,1162,5,5,3,3,Tech Park Area,Unfurnished,19,4,5023256.36
51,3668,5,5,3,3,Countryside,Semi-Furnished,13,8,10739088.36
